1A0O,X-RAY DIFFRACTION,3CHY,X-RAY DIFFRACTION,1FWP,SOLUTION NMR
1A22,X-RAY DIFFRACTION,1HGU,X-RAY DIFFRACTION,2AEW,X-RAY DIFFRACTION
1A2K,X-RAY DIFFRACTION,1GY6,X-RAY DIFFRACTION,5CIQ,X-RAY DIFFRACTION
1A6E,X-RAY DIFFRACTION,1ASX,X-RAY DIFFRACTION,1E0R,X-RAY DIFFRACTION
1ACB,X-RAY DIFFRACTION,2CGA,X-RAY DIFFRACTION,1EGL,SOLUTION NMR
1AGR,X-RAY DIFFRACTION,1CIP,X-RAY DIFFRACTION,1EZY,SOLUTION NMR
1AIP,X-RAY DIFFRACTION,2C78,X-RAY DIFFRACTION,1TFE,X-RAY DIFFRACTION
1AK4,X-RAY DIFFRACTION,5F66,X-RAY DIFFRACTION,2JPR,SOLUTION NMR
1AM4,X-RAY DIFFRACTION,1RGP,X-RAY DIFFRACTION,2KB0,SOLUTION NMR
1AN1,X-RAY DIFFRACTION,2A31,X-RAY DIFFRACTION,2KMR,SOLUTION NMR
1ARO,X-RAY DIFFRACTION,4RNP,X-RAY DIFFRACTION,1LBA,X-RAY DIFFRACTION
1ATN,X-RAY DIFFRACTION,2HF4,X-RAY DIFFRACTION,3DNI,X-RAY DIFFRACTION
1AVW,X-RAY DIFFRACTION,2A31,X-RAY DIFFRACTION,1AVU,X-RAY DIFFRACTION
1AVX,X-RAY DIFFRACTION,2A31,X-RAY DIFFRACTION,1AVU,X-RAY DIFFRACTION
1AVZ,X-RAY DIFFRACTION,1AVV,X-RAY DIFFRACTION,1SHF,X-RAY DIFFRACTION
1AY7,X-RAY DIFFRACTION,1LNI,X-RAY DIFFRACTION,1BTB,SOLUTION NMR
1B27,X-RAY DIFFRACTION,1A2P,X-RAY DIFFRACTION,1A19,X-RAY DIFFRACTION
1B2S,X-RAY DIFFRACTION,1A2P,X-RAY DIFFRACTION,1A19,X-RAY DIFFRACTION
1B2U,X-RAY DIFFRACTION,1A2P,X-RAY DIFFRACTION,1A19,X-RAY DIFFRACTION
1B3S,X-RAY DIFFRACTION,2KF6,SOLUTION NMR,1A19,X-RAY DIFFRACTION
1B41,X-RAY DIFFRACTION,1C2O,X-RAY DIFFRACTION,1FSC,X-RAY DIFFRACTION
1B6C,X-RAY DIFFRACTION,2PPN,X-RAY DIFFRACTION,3KCF,X-RAY DIFFRACTION
1BDJ,X-RAY DIFFRACTION,3CHY,X-RAY DIFFRACTION,2A0B,X-RAY DIFFRACTION
1BI7,X-RAY DIFFRACTION,5L2S,X-RAY DIFFRACTION,2A5E,SOLUTION NMR
1BI8,X-RAY DIFFRACTION,5L2S,X-RAY DIFFRACTION,1AP7,SOLUTION NMR
1BKD,X-RAY DIFFRACTION,1CTQ,X-RAY DIFFRACTION,2II0,X-RAY DIFFRACTION
1BLX,X-RAY DIFFRACTION,5L2S,X-RAY DIFFRACTION,1AP7,SOLUTION NMR
1BML,X-RAY DIFFRACTION,5UGG,X-RAY DIFFRACTION,1QQR,X-RAY DIFFRACTION
1BP3,X-RAY DIFFRACTION,1HGU,X-RAY DIFFRACTION,2LFG,SOLUTION NMR
1BRB,X-RAY DIFFRACTION,1DPO,X-RAY DIFFRACTION,1BPI,X-RAY DIFFRACTION
1BRS,X-RAY DIFFRACTION,1A2P,X-RAY DIFFRACTION,1AB7,SOLUTION NMR
1BUH,X-RAY DIFFRACTION,1JVP,X-RAY DIFFRACTION,1DKT,X-RAY DIFFRACTION
1BUI,X-RAY DIFFRACTION,5UGG,X-RAY DIFFRACTION,2SAK,X-RAY DIFFRACTION
1BVN,X-RAY DIFFRACTION,1PIG,X-RAY DIFFRACTION,1OK0,X-RAY DIFFRACTION
1BXI,X-RAY DIFFRACTION,1IMQ,SOLUTION NMR,1FSJ,X-RAY DIFFRACTION
1BZQ,X-RAY DIFFRACTION,2E3W,X-RAY DIFFRACTION,4PPT,X-RAY DIFFRACTION
1BZX,X-RAY DIFFRACTION,1HJ8,X-RAY DIFFRACTION,1BPI,X-RAY DIFFRACTION
1C0F,X-RAY DIFFRACTION,5DD2,X-RAY DIFFRACTION,2GWJ,X-RAY DIFFRACTION
1C0G,X-RAY DIFFRACTION,5DD2,X-RAY DIFFRACTION,3EKS,X-RAY DIFFRACTION
1C1Y,X-RAY DIFFRACTION,3X1X,X-RAY DIFFRACTION,1RFA,SOLUTION NMR
1CC0,X-RAY DIFFRACTION,5C4M,X-RAY DIFFRACTION,1FST,X-RAY DIFFRACTION
1CD9,X-RAY DIFFRACTION,1BGE,X-RAY DIFFRACTION,1GCF,SOLUTION NMR
1CGI,X-RAY DIFFRACTION,2CGA,X-RAY DIFFRACTION,1HPT,X-RAY DIFFRACTION
1CGJ,X-RAY DIFFRACTION,2CGA,X-RAY DIFFRACTION,1HPT,X-RAY DIFFRACTION
1CLV,X-RAY DIFFRACTION,1JAE,X-RAY DIFFRACTION,1QFD,SOLUTION NMR
1CN4,X-RAY DIFFRACTION,1ERN,X-RAY DIFFRACTION,1BUY,SOLUTION NMR
1CO7,X-RAY DIFFRACTION,1DPO,X-RAY DIFFRACTION,3WNY,X-RAY DIFFRACTION
1CSE,X-RAY DIFFRACTION,3UNX,X-RAY DIFFRACTION,1EGL,SOLUTION NMR
1CSO,X-RAY DIFFRACTION,2QAA,X-RAY DIFFRACTION,2GKR,X-RAY DIFFRACTION
1CT0,X-RAY DIFFRACTION,2QAA,X-RAY DIFFRACTION,2GKR,X-RAY DIFFRACTION
1CT2,X-RAY DIFFRACTION,2QAA,X-RAY DIFFRACTION,2GKR,X-RAY DIFFRACTION
1CT4,X-RAY DIFFRACTION,2QAA,X-RAY DIFFRACTION,2GKR,X-RAY DIFFRACTION
1D0D,X-RAY DIFFRACTION,1TCP,SOLUTION NMR,1BPI,X-RAY DIFFRACTION
1D4X,X-RAY DIFFRACTION,3EKS,X-RAY DIFFRACTION,5DD2,X-RAY DIFFRACTION
1D6R,X-RAY DIFFRACTION,4I8H,X-RAY DIFFRACTION,1K9B,X-RAY DIFFRACTION
1DEJ,X-RAY DIFFRACTION,5DD2,X-RAY DIFFRACTION,3EKS,X-RAY DIFFRACTION
1DFJ,X-RAY DIFFRACTION,2E3W,X-RAY DIFFRACTION,2BNH,X-RAY DIFFRACTION
1DJS,X-RAY DIFFRACTION,3DAR,X-RAY DIFFRACTION,2AXM,X-RAY DIFFRACTION
1DKF,X-RAY DIFFRACTION,1G5Y,X-RAY DIFFRACTION,1FD0,X-RAY DIFFRACTION
1DOA,X-RAY DIFFRACTION,1A4R,X-RAY DIFFRACTION,1FST,X-RAY DIFFRACTION
1DS6,X-RAY DIFFRACTION,2C2H,X-RAY DIFFRACTION,5H1D,X-RAY DIFFRACTION
1DTD,X-RAY DIFFRACTION,1AYE,X-RAY DIFFRACTION,1ZFL,SOLUTION NMR
1E0O,X-RAY DIFFRACTION,2AFG,X-RAY DIFFRACTION,3DAR,X-RAY DIFFRACTION
1E4K,X-RAY DIFFRACTION,3C2S,X-RAY DIFFRACTION,1E4J,X-RAY DIFFRACTION
1E50,X-RAY DIFFRACTION,1LJM,X-RAY DIFFRACTION,1CL3,SOLUTION NMR
1E6E,X-RAY DIFFRACTION,1CJC,X-RAY DIFFRACTION,1L6V,SOLUTION NMR
1E94,X-RAY DIFFRACTION,4G4E,X-RAY DIFFRACTION,1G41,X-RAY DIFFRACTION
1E96,X-RAY DIFFRACTION,2C2H,X-RAY DIFFRACTION,1WM5,X-RAY DIFFRACTION
1E9H,X-RAY DIFFRACTION,1JVP,X-RAY DIFFRACTION,1VIN,X-RAY DIFFRACTION
1EAY,X-RAY DIFFRACTION,3CHY,X-RAY DIFFRACTION,1FWP,SOLUTION NMR
1EER,X-RAY DIFFRACTION,1BUY,SOLUTION NMR,1ERN,X-RAY DIFFRACTION
1EJM,X-RAY DIFFRACTION,4I8H,X-RAY DIFFRACTION,1LD5,SOLUTION NMR
